"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"short term visa applications","Refused","29/02/2024","Palau","0","0","0","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Palestine, State of","75","129","164","30","20","94","43","19"
"short term visa applications","Refused","29/02/2024","Papua New Guinea","0","0","0","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Peru","6","7","18","8","*","8","6","0"
"short term visa applications","Refused","29/02/2024","Philippines (the)","613","584","710","129","45","292","382","28"
"short term visa applications","Refused","29/02/2024","Qatar","0","16","8","*","0","9","12","*"
"short term visa applications","Refused","29/02/2024","Russian Federation (the)","259","419","688","214","24","99","101","5"
"short term visa applications","Refused","29/02/2024","Rwanda","9","16","7","0","0","6","13","0"
"short term visa applications","Refused","29/02/2024","Sao Tome and Principe","0","*","0","0","0","0","*","*"
"short term visa applications","Refused","29/02/2024","Saudi Arabia","22","32","23","12","*","18","25","0"
"short term visa applications","Refused","29/02/2024","Senegal","11","9","13","4","*","13","18","4"
"short term visa applications","Refused","29/02/2024","Serbia","10","29","25","*","*","11","25","8"
"short term visa applications","Refused","29/02/2024","Sierra Leone","66","28","46","9","4","80","77","12"
"short term visa applications","Refused","29/02/2024","Somalia","32","48","54","17","13","84","75","38"
"short term visa applications","Refused","29/02/2024","South Sudan","0","4","0","0","0","0","4","0"
"short term visa applications","Refused","29/02/2024","Sri Lanka","74","118","198","57","8","68","59","4"
